time,Vmax,count_rhs,errorSrel,errorPSIrel,errorSabs,errorPSIabs,maxPSI,minPSI,maxS,minS,fmax,ratio_addition
0,0,0,0,0,0,0,0,0,0,0,0,0
0.100000000000000006,1.00000000000000337e-09,4,0,0,0,0,0,0,0,0,2.42135669245042696e-15,0
1.10000000000000009,9.99999999999979176e-10,2,0,0,0,0,0,0,0,0,5.50883759114595244e-17,0
11.0999999999999996,9.99999999998088034e-10,2,0,0,0,0,0,0,0,0,9.99395645619627782e-18,0
111.099999999999994,9.99999999891180524e-10,2,0,0,0,0,0,0,0,0,5.20951287648699097e-15,0
350.422096815438351,9.99999998986776397e-10,2,0,0,0,0,0,0,0,0,2.7363113642013987e-12,0
581.913052870485103,9.99999997280504212e-10,2,0,0,0,0,0,0,0,0,5.90525324562570127e-16,0
1530.14068866805019,9.99999983033898489e-10,2,0,0,0,0,0,0,0,0,7.62650522585333864e-13,0
2573.35674123876925,9.99999955605930857e-10,2,0,0,0,0,0,0,0,0,1.55967766811784554e-12,0
3705.16708731969084,9.99999914901846122e-10,2,0,0,0,0,0,0,0,0,1.54557462375617006e-14,0
5958.17736721207802,9.99999809052145773e-10,2,0,0,0,0,0,0,0,0,4.45891207456743262e-12,0
8080.02352349462672,9.99999688274160573e-10,2,0,0,0,0,0,0,0,0,6.08471032314693207e-12,0
10019.6809264178592,9.99999566024646498e-10,2,0,0,0,0,0,0,0,0,1.18288807598124635e-12,0
12267.8250892601172,9.99999413832183144e-10,2,0,0,0,0,0,0,0,0,2.28893913712761165e-12,0
14704.9855813162721,9.99999238730103417e-10,2,0,0,0,0,0,0,0,0,1.40320391673060126e-12,0
17466.8033172766445,9.99999030085101459e-10,2,0,0,0,0,0,0,0,0,8.12644666804427707e-13,0
20702.7574459062562,9.99998775305563706e-10,2,0,0,0,0,0,0,0,0,6.53389908469154384e-13,0
24478.473572415598,9.99998467542097401e-10,2,0,0,0,0,0,0,0,0,1.05952645604699764e-12,0
28486.9281505434701,9.99998131809975202e-10,2,0,0,0,0,0,0,0,0,6.03531258075523061e-13,0
33099.781324482974,9.99997736523419363e-10,2,0,0,0,0,0,0,0,0,1.24758639982127555e-12,0
37802.8133619879372,9.99997326015017443e-10,2,0,0,0,0,0,0,0,0,1.01058489415458918e-12,0
42877.6907188311088,9.99996876362510085e-10,2,0,0,0,0,0,0,0,0,3.24102811440407293e-13,0
48913.7975585587265,9.99996334558158343e-10,2,0,0,0,0,0,0,0,0,3.22468880438230775e-13,0
56021.5137133438984,9.99995688881660592e-10,2,0,0,0,0,0,0,0,0,3.89636466785161828e-13,0
63878.4381691437738,9.99994967783354471e-10,2,0,0,0,0,0,0,0,0,4.13347797805569395e-13,0
72621.9331896675285,9.99994158219219831e-10,2,0,0,0,0,0,0,0,0,3.49666638218341073e-13,0
82223.9355300058523,9.99993262617101047e-10,2,0,0,0,0,0,0,0,0,3.0060214280793779e-13,0
93082.6639311178151,9.99992243339923111e-10,2,0,0,0,0,0,0,0,0,2.59297525047422431e-13,0
105137.880949618135,9.99991105675869672e-10,2,0,0,0,0,0,0,0,0,2.43642774215785065e-13,0
118746.931099174573,9.99989815458384701e-10,2,0,0,0,0,0,0,0,0,1.94244712055911127e-13,0
133948.584449866554,9.99988368786904637e-10,2,0,0,0,0,0,0,0,0,1.86072755352108379e-13,0
151156.141213461146,9.9998672607247065e-10,2,0,0,0,0,0,0,0,0,1.62218582561595309e-13,0
170248.30204445342,9.99984899042332065e-10,2,0,0,0,0,0,0,0,0,1.52842661948357677e-13,0
191793.949995632778,9.99982833521624768e-10,2,0,0,0,0,0,0,0,0,1.30084472976291267e-13,0
215699.958041951875,9.99980539182009179e-10,2,0,0,0,0,0,0,0,0,1.21404961888220677e-13,0
242702.375510809972,9.99977946406144528e-10,2,0,0,0,0,0,0,0,0,1.02247294153584315e-13,0
272716.532610067341,9.99975065049582791e-10,2,0,0,0,0,0,0,0,0,9.63088491013572865e-14,0
306629.029788394866,9.99971812316103036e-10,2,0,0,0,0,0,0,0,0,8.14008096604053814e-14,0
344318.683498415514,9.99968203214559163e-10,2,0,0,0,0,0,0,0,0,7.67258298425356623e-14,0
386897.801868660783,9.99964135678659137e-10,2,0,0,0,0,0,0,0,0,6.51738268482975171e-14,0
434191.073394276784,9.99959632513404974e-10,2,0,0,0,0,0,0,0,0,6.12674917370949227e-14,0
487611.312224319438,9.99954567024693721e-10,2,0,0,0,0,0,0,0,0,5.18999330860521451e-14,0
