time,Vmax,count_rhs,errorSrel,errorPSIrel,errorSabs,errorPSIabs,maxPSI,minPSI,maxS,minS,fmax,ratio_addition
0,0,0,0,0,0,0,0,0,0,0,0,0
0.100000000000000006,1.00000000000000461e-09,10,0,0,0,0,0,0,0,0,7.21723872682447836e-06,0
0.300000000000000044,9.99999999999951259e-10,5,0,0,0,0,0,0,0,0,7.77399285086847191e-06,0
0.700000000000000067,9.99999999999924168e-10,3,0,0,0,0,0,0,0,0,6.62846689665532602e-06,0
1.5,1.00000000000021637e-09,3,0,0,0,0,0,0,0,0,7.60742599238228593e-06,0
3.10000000000000009,1.00000000000108905e-09,6,0,0,0,0,0,0,0,0,5.79774233792996185e-06,0
6.30000000000000071,1.000000000000753e-09,5,0,0,0,0,0,0,0,0,6.31615483993680653e-06,0
12.7000000000000011,9.9999999999135313e-10,6,0,0,0,0,0,0,0,0,6.29536334709158886e-06,0
25.5,9.99999999962317022e-10,5,0,0,0,0,0,0,0,0,8.27735736616894186e-06,0
50.4723713102753777,9.99999999937705918e-10,5,0,0,0,0,0,0,0,0,8.42832076584393799e-06,0
93.2526298786484631,9.99999999994860789e-10,5,0,0,0,0,0,0,0,0,7.60501941360942839e-06,0
174.116323440649069,1.00000000009837851e-09,6,0,0,0,0,0,0,0,0,7.60467406875295529e-06,0
271.61925925650587,9.99999999813085161e-10,4,0,0,0,0,0,0,0,0,6.68390182762894783e-06,0
405.82174018335661,9.99999998761837658e-10,5,0,0,0,0,0,0,0,0,1.14922223545036291e-05,0
674.226702037058089,9.99999995476813518e-10,4,0,0,0,0,0,0,0,0,6.92597018839974715e-06,0
958.116643645036106,9.99999991292165116e-10,4,0,0,0,0,0,0,0,0,1.07084786998831521e-05,0
1310.36146360828002,9.99999985092109348e-10,5,0,0,0,0,0,0,0,0,7.1245178650921928e-06,0
1982.80921846625779,9.99999969135924372e-10,5,0,0,0,0,0,0,0,0,1.10828693083553518e-05,0
2728.2470003678568,9.99999944737837847e-10,4,0,0,0,0,0,0,0,0,1.31338880834439552e-05,0
3526.72846958018499,9.99999912115798215e-10,10,0,0,0,0,0,0,0,0,1.06725028468371085e-05,0
4275.21776922156278,9.99999876966348546e-10,6,0,0,0,0,0,0,0,0,1.47320270069289779e-05,0
4986.10390249380998,9.99999840293897242e-10,6,0,0,0,0,0,0,0,0,1.70022561514991249e-05,0
5719.9265538481859,9.99999799446011086e-10,4,0,0,0,0,0,0,0,0,6.25065201871796921e-06,0
6534.36770335801884,9.99999750872899074e-10,5,0,0,0,0,0,0,0,0,1.60804145450714184e-05,0
7479.26043109795228,9.99999690749194153e-10,6,0,0,0,0,0,0,0,0,2.18503546053512701e-05,0
8533.55457833855326,9.99999619571655504e-10,6,0,0,0,0,0,0,0,0,1.05859684010007649e-05,0
9623.80177131941673,9.99999542120008363e-10,5,0,0,0,0,0,0,0,0,2.37316481888216413e-05,0
10722.8628716122439,9.99999460654453238e-10,6,0,0,0,0,0,0,0,0,3.32890333946384739e-05,0
11853.733308798126,9.99999373752034954e-10,4,0,0,0,0,0,0,0,0,1.4171315290165863e-05,0
13058.8681406057622,9.99999278146642237e-10,5,0,0,0,0,0,0,0,0,1.6047890932883584e-05,0
14375.6331407491598,9.9999917061184925e-10,5,0,0,0,0,0,0,0,0,3.87712149805348442e-05,0
15813.5575914431356,9.99999050007159214e-10,5,0,0,0,0,0,0,0,0,2.91510902482046877e-05,0
17349.7783318930124,9.99998917992360903e-10,7,0,0,0,0,0,0,0,0,6.48236957403211755e-05,0
18958.994952968591,9.99998776670306664e-10,5,0,0,0,0,0,0,0,0,4.92774908377031942e-05,0
20640.1439402331453,9.99998626153636991e-10,6,0,0,0,0,0,0,0,0,1.89144888583026567e-05,0
22414.6997757851277,9.99998464498433604e-10,5,0,0,0,0,0,0,0,0,4.44931753018230479e-05,0
24311.104101923549,9.9999828899752006e-10,5,0,0,0,0,0,0,0,0,5.81402143347026917e-05,0
26348.4730753772528,9.99998097695327032e-10,5,0,0,0,0,0,0,0,0,5.33775151946865685e-05,0
