time,Vmax,count_rhs,errorSrel,errorPSIrel,errorSabs,errorPSIabs,maxPSI,minPSI,maxS,minS,fmax,ratio_addition
0,0,0,0,0,0,0,0,0,0,0,0,0
0.100000000000000006,1.00000000000000337e-09,5,0,0,0,0,0,0,0,0,0,0
1.10000000000000009,9.99999999999975454e-10,2,0,0,0,0,0,0,0,0,0,0
11.0999999999999996,9.9999999999874647e-10,2,0,0,0,0,0,0,0,0,0,0
106.54469014961802,9.99999999891901825e-10,3,0,0,0,0,0,0,0,0,0,0
320.795930178246181,9.99999999047151896e-10,3,0,0,0,0,0,0,0,0,0,0
518.239271201579072,9.99999997559687388e-10,3,0,0,0,0,0,0,0,0,0,0
705.818007982256404,9.99999995548535454e-10,3,0,0,0,0,0,0,0,0,0,0
897.861021016107657,9.99999992917850264e-10,3,0,0,0,0,0,0,0,0,0,0
1090.67398028630919,9.99999989724905802e-10,3,0,0,0,0,0,0,0,0,0,0
1286.39006183987908,9.99999985947681902e-10,3,0,0,0,0,0,0,0,0,0,0
1486.70909651445595,9.99999981550917713e-10,3,0,0,0,0,0,0,0,0,0,0
1691.54419316079884,9.99999976528247876e-10,3,0,0,0,0,0,0,0,0,0,0
1900.93952542474153,9.99999970871304009e-10,3,0,0,0,0,0,0,0,0,0,0
2114.95973308760585,9.99999964571427188e-10,3,0,0,0,0,0,0,0,0,0,0
2333.62348650056583,9.99999957621661649e-10,3,0,0,0,0,0,0,0,0,0,0
2557.00386401983906,9.99999950013671481e-10,3,0,0,0,0,0,0,0,0,0,0
2785.20082643446631,9.99999941738197223e-10,3,0,0,0,0,0,0,0,0,0,0
3018.31931821771377,9.9999993278563717e-10,3,0,0,0,0,0,0,0,0,0,0
3256.46860703393895,9.99999923145988639e-10,3,0,0,0,0,0,0,0,0,0,0
3499.7596094138662,9.9999991280898901e-10,3,0,0,0,0,0,0,0,0,0,0
3748.30415693107261,9.99999901764167414e-10,3,0,0,0,0,0,0,0,0,0,0
4002.21586385710725,9.99999890000728732e-10,3,0,0,0,0,0,0,0,0,0,0
4261.61057677019562,9.99999877507627208e-10,3,0,0,0,0,0,0,0,0,0,0
4526.60659580481206,9.99999864273524883e-10,3,0,0,0,0,0,0,0,0,0,0
4797.32481793242914,9.9999985028676306e-10,3,0,0,0,0,0,0,0,0,0,0
5073.88879352052754,9.99999835535365612e-10,3,0,0,0,0,0,0,0,0,0,0
5356.42476338793676,9.99999820007056972e-10,3,0,0,0,0,0,0,0,0,0,0
5645.06170322617982,9.99999803689215191e-10,3,0,0,0,0,0,0,0,0,0,0
5939.93137507673782,9.99999786568890549e-10,3,0,0,0,0,0,0,0,0,0,0
6241.16838511043989,9.99999768632802454e-10,3,0,0,0,0,0,0,0,0,0,0
6548.91024561011182,9.99999749867312975e-10,3,0,0,0,0,0,0,0,0,0,0
6863.29743766389583,9.99999730258438e-10,3,0,0,0,0,0,0,0,0,0,0
7184.47347625237853,9.99999709791843112e-10,3,0,0,0,0,0,0,0,0,0,0
7512.58497611783332,9.99999688452812973e-10,3,0,0,0,0,0,0,0,0,0,0
7847.78171781623405,9.99999666226250711e-10,3,0,0,0,0,0,0,0,0,0,0
8190.21671845406399,9.99999643096682671e-10,3,0,0,0,0,0,0,0,0,0,0
8540.04629828919678,9.99999619048244563e-10,3,0,0,0,0,0,0,0,0,0,0
8897.43015447681319,9.99999594064676292e-10,3,0,0,0,0,0,0,0,0,0,0
9262.53143385388648,9.99999568129311614e-10,3,0,0,0,0,0,0,0,0,0,0
9635.51680526183736,9.99999541225053328e-10,3,0,0,0,0,0,0,0,0,0,0
10016.5565386031103,9.99999513334403254e-10,3,0,0,0,0,0,0,0,0,0,0
10405.8245814432776,9.99999484439405369e-10,3,0,0,0,0,0,0,0,0,0,0
10803.4986365165514,9.99999454521670829e-10,3,0,0,0,0,0,0,0,0,0,0
11209.7602460157141,9.99999423562368039e-10,3,0,0,0,0,0,0,0,0,0,0
11624.7948728158426,9.99999391542200944e-10,3,0,0,0,0,0,0,0,0,0,0
12048.791984678106,9.99999358441375731e-10,3,0,0,0,0,0,0,0,0,0,0
12481.9451416384345,9.99999324239639298e-10,3,0,0,0,0,0,0,0,0,0,0
12924.4520853625072,9.99999288916243886e-10,3,0,0,0,0,0,0,0,0,0,0
13376.5148268436606,9.99999252449948738e-10,3,0,0,0,0,0,0,0,0,0,0
13838.3397407647917,9.99999214818977084e-10,3,0,0,0,0,0,0,0,0,0,0
14310.1376592793895,9.99999176001020689e-10,3,0,0,0,0,0,0,0,0,0,0
14792.1239669931529,9.99999135973283698e-10,3,0,0,0,0,0,0,0,0,0,0
15284.5187024155002,9.99999094712373028e-10,3,0,0,0,0,0,0,0,0,0,0
15787.5466537074226,9.999990521943631e-10,3,0,0,0,0,0,0,0,0,0,0
16301.437465258412,9.99999008394753446e-10,3,0,0,0,0,0,0,0,0,0,0
16826.4257423713934,9.99998963288445337e-10,3,0,0,0,0,0,0,0,0,0,0
17362.7511555751153,9.99998916849737032e-10,3,0,0,0,0,0,0,0,0,0,0
17910.6585525761657,9.99998869052344452e-10,3,0,0,0,0,0,0,0,0,0,0
18470.3980692188525,9.99998819869326118e-10,3,0,0,0,0,0,0,0,0,0,0
19042.2252443127654,9.99998769273137951e-10,3,0,0,0,0,0,0,0,0,0,0
19626.401135096432,9.99998717235558408e-10,3,0,0,0,0,0,0,0,0,0,0
20223.1924373480251,9.99998663727706891e-10,3,0,0,0,0,0,0,0,0,0,0
20832.8716061919076,9.99998608720036097e-10,3,0,0,0,0,0,0,0,0,0,0
21455.7169814520967,9.99998552182284036e-10,3,0,0,0,0,0,0,0,0,0,0
22092.012914765095,9.99998494083482306e-10,3,0,0,0,0,0,0,0,0,0,0
22742.0498997904833,9.99998434391923213e-10,3,0,0,0,0,0,0,0,0,0,0
23406.1247049053309,9.99998373075185e-10,3,0,0,0,0,0,0,0,0,0,0
24084.5405058285687,9.9999831010004644e-10,3,0,0,0,0,0,0,0,0,0,0
24777.6070272347461,9.99998245432547424e-10,3,0,0,0,0,0,0,0,0,0,0
25485.6406842624419,9.99998179037893842e-10,3,0,0,0,0,0,0,0,0,0,0
26208.9647243411273,9.99998110880505966e-10,3,0,0,0,0,0,0,0,0,0,0
26947.9093778465758,9.99998040923963656e-10,3,0,0,0,0,0,0,0,0,0,0
27702.8120032926599,9.99997969130999942e-10,3,0,0,0,0,0,0,0,0,0,0
28474.0172464390816,9.9999789546344561e-10,3,0,0,0,0,0,0,0,0,0,0
29261.8771994544586,9.99997819882303229e-10,3,0,0,0,0,0,0,0,0,0,0
30066.7515593108292,9.99997742347589785e-10,3,0,0,0,0,0,0,0,0,0,0
30889.0077907162122,9.99997662818450825e-10,3,0,0,0,0,0,0,0,0,0,0
31729.0212956341638,9.99997581253048589e-10,3,0,0,0,0,0,0,0,0,0,0
32587.175581973901,9.9999749760855456e-10,3,0,0,0,0,0,0,0,0,0,0
33463.8624442261425,9.99997411841184414e-10,3,0,0,0,0,0,0,0,0,0,0
34359.482135397986,9.99997323906110959e-10,3,0,0,0,0,0,0,0,0,0,0
35274.443555909369,9.99997233757454208e-10,3,0,0,0,0,0,0,0,0,0,0
36209.1644359851052,9.99997141348260908e-10,3,0,0,0,0,0,0,0,0,0,0
37164.0715288363426,9.99997046630495854e-10,3,0,0,0,0,0,0,0,0,0,0
38139.6008034806364,9.99996949555003838e-10,3,0,0,0,0,0,0,0,0,0,0
39136.1976474797484,9.99996850071473874e-10,3,0,0,0,0,0,0,0,0,0,0
40154.317063908602,9.99996748128446229e-10,3,0,0,0,0,0,0,0,0,0,0
41194.423889465601,9.99996643673204268e-10,3,0,0,0,0,0,0,0,0,0,0
42256.9929946263728,9.99996536651850145e-10,3,0,0,0,0,0,0,0,0,0,0
43342.5095081968175,9.99996427009217529e-10,3,0,0,0,0,0,0,0,0,0,0
44451.4690372059922,9.99996314688852171e-10,3,0,0,0,0,0,0,0,0,0,0
45584.3778920115146,9.99996199632963097e-10,3,0,0,0,0,0,0,0,0,0,0
46741.7533199202735,9.9999608178242261e-10,3,0,0,0,0,0,0,0,0,0,0
