time,Vmax,count_rhs,errorSrel,errorPSIrel,errorSabs,errorPSIabs,maxPSI,minPSI,maxS,minS,fmax,ratio_addition
0,0,0,0,0,0,0,0,0,0,0,0,0
0.100000000000000006,1.00000000000000337e-09,21,0,0,0,0,0,0,0,0,7.21723811621569387e-15,7478377151.21522617
0.300000000000000044,1.00000000000000337e-09,9,0,0,0,0,0,0,0,0,8.20282328915857615e-15,3074443939.9442215
0.700000000000000067,9.99999999999993031e-10,8,0,0,0,0,0,0,0,0,8.83691368293009799e-15,1778283211.47598624
1.5,9.99999999999975454e-10,8,0,0,0,0,0,0,0,0,5.32923861370893136e-15,863574504.366807938
3.10000000000000009,9.99999999999904523e-10,10,0,0,0,0,0,0,0,0,6.60343025641124066e-15,431787252.183344364
6.30000000000000071,9.99999999999616457e-10,8,0,0,0,0,0,0,0,0,6.60343214651894034e-15,215893626.091931701
12.7000000000000011,9.99999999998444342e-10,7,0,0,0,0,0,0,0,0,9.88384223674612594e-15,107946813.046409592
25.5,9.99999999993743889e-10,8,0,0,0,0,0,0,0,0,9.11419952343506617e-15,53973406.5240707919
51.1000000000000014,9.99999999974949931e-10,8,0,0,0,0,0,0,0,0,6.60357209307087512e-15,26986703.2637521885
102.300000000000011,9.99999999900130204e-10,8,0,0,0,0,0,0,0,0,6.69258855318279857e-15,13493351.6353169624
204.700000000000017,9.99999999604273962e-10,9,0,0,0,0,0,0,0,0,1.12164574748866688e-14,6746675.82445943076
409.5,9.99999998448349027e-10,8,0,0,0,0,0,0,0,0,7.60024664286590663e-15,3373337.9255237258
819.100000000000023,9.99999994032578089e-10,8,0,0,0,0,0,0,0,0,7.90400422339062345e-15,1686668.98819076875
1638.30000000000018,9.99999977836037381e-10,11,0,0,0,0,0,0,0,0,7.25682042492612729e-15,843334.540858363733
2368.9390040356875,9.99999956366428098e-10,19,0,0,0,0,0,0,0,0,7.02839097001711555e-15,744422.600266865687
3046.63600803521877,9.99999931553193064e-10,11,0,0,0,0,0,0,0,0,1.00748969948235297e-14,751270.289011597051
3689.09741040378321,9.99999904306390187e-10,9,0,0,0,0,0,0,0,0,5.37143161858350667e-15,790163.172261432046
4356.72103346367385,9.99999872662784658e-10,9,0,0,0,0,0,0,0,0,1.06209595805415157e-14,853883.613645281876
5103.44791911503125,9.99999833768384367e-10,9,0,0,0,0,0,0,0,0,7.55141001902837439e-15,862746.678233967628
5942.43279415584311,9.9999978624323864e-10,10,0,0,0,0,0,0,0,0,8.22730855865959145e-15,853295.72560253588
6852.38331174635914,9.99999730753093041e-10,10,0,0,0,0,0,0,0,0,8.14387971475240197e-15,857645.871911136783
7808.18181765725058,9.99999668666385749e-10,9,0,0,0,0,0,0,0,0,9.14124017739381832e-15,884183.650512486114
8802.95574654579286,9.99999600488164916e-10,10,0,0,0,0,0,0,0,0,8.89004421414869249e-15,924025.177879012306
9847.65966757325077,9.99999525513678451e-10,11,0,0,0,0,0,0,0,0,4.89115031465281024e-15,964018.303593821358
10959.0185868948793,9.99999442472733861e-10,10,0,0,0,0,0,0,0,0,6.65283238165415931e-15,996910.799829193391
12148.9018670819514,9.99999350316679128e-10,9,0,0,0,0,0,0,0,0,6.05514722924312849e-15,1023938.06964650436
13421.083420647934,9.99999248570835832e-10,9,0,0,0,0,0,0,0,0,9.41950903313488992e-15,1050486.9987746398
14774.8898925324775,9.999991371376101e-10,9,0,0,0,0,0,0,0,0,9.28924573331538596e-15,1080612.13872701535
16210.7734547963064,9.99999015866021206e-10,9,0,0,0,0,0,0,0,0,9.24085713386546475e-15,1114885.30421493738
17733.1416735850544,9.99998884286139778e-10,11,0,0,0,0,0,0,0,0,5.68806993752686679e-15,1151545.05460832221
19349.5724398773382,9.99998741639618211e-10,11,0,0,0,0,0,0,0,0,9.90012092310611562e-15,1188690.19658123655
21068.4241351989185,9.99998587072145817e-10,9,0,0,0,0,0,0,0,0,6.61125330381957111e-15,1225636.72135856841
22897.1044209543907,9.99998419792065667e-10,9,0,0,0,0,0,0,0,0,1.28365269571062871e-14,1262888.05519615836
24841.9251459372208,9.99998239095210488e-10,11,0,0,0,0,0,0,0,0,1.17694734958267429e-14,1301313.21121088206
26909.047924749113,9.99998044285004866e-10,10,0,0,0,0,0,0,0,0,7.87487688350038533e-15,1341427.40317052673
29105.4691529775737,9.99997834579964957e-10,9,0,0,0,0,0,0,0,0,8.09986637568999245e-15,1383220.82196543063
31439.372686584371,9.99997609075431033e-10,10,0,0,0,0,0,0,0,0,9.04558535898083862e-15,1426415.18923136708
33919.8769383663894,9.99997366763426031e-10,9,0,0,0,0,0,0,0,0,6.91615905735662584e-15,1470792.17024116335
36556.607725595044,9.99997106572046298e-10,9,0,0,0,0,0,0,0,0,1.09143037043050782e-14,1516342.45331393112
39359.4789550529313,9.99996827386889505e-10,10,0,0,0,0,0,0,0,0,1.30072306190590811e-14,1563211.28886205959
42338.7739922463079,9.99996528043199737e-10,11,0,0,0,0,0,0,0,0,1.02140206898188225e-14,1611563.76673786063
45505.3809511205764,9.99996207301714644e-10,10,0,0,0,0,0,0,0,0,8.8247913990296089e-15,1661495.03466256708
48870.9887179387224,9.99995863827399667e-10,10,0,0,0,0,0,0,0,0,9.07845039367144125e-15,1713026.92543573398
52448.1544862689116,9.99995496180570111e-10,9,0,0,0,0,0,0,0,0,1.49195722461693869e-14,1766156.39482495445
56250.2779405607653,9.99995102817547307e-10,9,0,0,0,0,0,0,0,0,1.08129641487572835e-14,1820901.07436753856
60291.5691881897583,9.99994682092087152e-10,10,0,0,0,0,0,0,0,0,8.58804593346313205e-15,1877312.49219140108
64587.069923033785,9.99994232251402822e-10,9,0,0,0,0,0,0,0,0,7.98999959718712331e-15,1935461.84023598791
69152.7299409166299,9.99993751426149677e-10,11,0,0,0,0,0,0,0,0,7.59508631135608029e-15,1995419.62649201206
74005.5049475151318,9.9999323761786494e-10,11,0,0,0,0,0,0,0,0,8.62765283177163483e-15,2057245.55697127734
79163.4427351796767,9.99992688687208292e-10,10,0,0,0,0,0,0,0,0,9.64442155658208929e-15,2120991.16989217605
84645.7483084144187,9.99992102344188316e-10,10,0,0,0,0,0,0,0,0,7.04275696985202373e-15,2186708.03343781177
90472.8393645625911,9.99991476139028564e-10,10,0,0,0,0,0,0,0,0,1.27385080196930936e-14,2254453.65108645894
96666.4087274363847,9.99990807452042659e-10,10,0,0,0,0,0,0,0,0,1.58000079875750665e-14,2324292.09340291237
103249.502307082279,9.99990093481496869e-10,9,0,0,0,0,0,0,0,0,1.9755203738253315e-14,2396291.21128362138
110246.610451405053,9.99989331229579052e-10,9,0,0,0,0,0,0,0,0,1.57724383959979965e-14,2470519.83883505594
117683.766029886494,9.99988517487189909e-10,9,0,0,0,0,0,0,0,0,1.19611350906621156e-14,2547046.88345098682
125588.644368143563,9.99987648817995562e-10,9,0,0,0,0,0,0,0,0,1.0983000264439842e-14,2625942.15914112097
133990.664749403077,9.9998672154180081e-10,11,0,0,0,0,0,0,0,0,7.68426467801084058e-15,2707277.72347483179
142921.096785472037,9.9998573171677343e-10,11,0,0,0,0,0,0,0,0,8.11156393047007639e-15,2791128.60661825072
152413.174651213747,9.99984675120219675e-10,10,0,0,0,0,0,0,0,0,1.13458410387598109e-14,2877572.79354861891
162502.220808264508,9.99983547227547621e-10,10,0,0,0,0,0,0,0,0,1.45964915652158248e-14,2966690.79228732735
173225.778764115472,9.99982343189498609e-10,9,0,0,0,0,0,0,0,0,1.35159131553889623e-14,3058565.3242176054
184623.754008897464,9.99981057807709637e-10,10,0,0,0,0,0,0,0,0,1.95131336635209491e-14,3153281.33478874853
196738.56277515844,9.99979685508358566e-10,11,0,0,0,0,0,0,0,0,1.250937199175773e-14,3250926.24830492493
209615.289450771612,9.9997822031398207e-10,9,0,0,0,0,0,0,0,0,1.74019361059359279e-14,3351590.22156952647
223301.853771861352,9.99976655813107564e-10,10,0,0,0,0,0,0,0,0,2.1629360685676479e-14,3455366.29032791918
237849.188907139818,9.99974985127473483e-10,10,0,0,0,0,0,0,0,0,1.93234775876099284e-14,3562350.40337041765
253311.43114410041,9.99973200876747341e-10,10,0,0,0,0,0,0,0,0,1.82969413108726616e-14,3672641.42695203703
269746.121522281843,9.99971295140474387e-10,11,0,0,0,0,0,0,0,0,9.14510139548864567e-15,3786341.2048675078
287214.420314436138,9.99969259417111489e-10,10,0,0,0,0,0,0,0,0,1.31069191375847759e-14,3903554.61860910058
305781.334479059849,9.99967084579992791e-10,11,0,0,0,0,0,0,0,0,1.00566297596535176e-14,4024389.74535283074
